Category: All categories

Region,milkshake beverage: (2/1/24 - 2/28/25),hamburger food: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
Alaska,,2%,98%
Alabama,,4%,96%
Arkansas,,3%,97%
Arizona,,3%,97%
California,,1%,99%
Colorado,,2%,98%
Connecticut,,1%,99%
District of Columbia,,1%,99%
Delaware,,1%,99%
Florida,,2%,98%
Georgia,,2%,98%
Hawaii,,2%,98%
Iowa,,2%,98%
Idaho,,3%,97%
Illinois,,1%,99%
Indiana,,2%,98%
Kansas,,3%,97%
Kentucky,,3%,97%
Louisiana,,4%,96%
Massachusetts,,1%,99%
Maryland,,1%,99%
Maine,,2%,98%
Michigan,,2%,98%
Minnesota,,2%,98%
Missouri,,2%,98%
Mississippi,,3%,97%
Montana,,2%,98%
North Carolina,,3%,97%
North Dakota,,2%,98%
Nebraska,,3%,97%
New Hampshire,,2%,98%
New Jersey,,1%,99%
New Mexico,,3%,97%
Nevada,,2%,98%
New York,,1%,99%
Ohio,,2%,98%
Oklahoma,,3%,97%
Oregon,,2%,98%
Pennsylvania,,1%,99%
Rhode Island,,1%,99%
South Carolina,,3%,97%
South Dakota,,3%,97%
Tennessee,,2%,98%
Texas,,2%,98%
Utah,,3%,97%
Virginia,,2%,98%
Vermont,,,100%
Washington,,2%,98%
Wisconsin,,2%,98%
West Virginia,,3%,97%
Wyoming,,4%,96%
